Results generated by BModes (v1.03.01, 25-Sept-2007, compiled using double precision) on 01-Dec-2018 at 20:35:30.
Created 01-Dec-2018 20:35:30.                                                                      
=================================================================================

            rotating blade frequencies & mode shapes
            --- only first  20 modes printed


 -------- Mode No.   1  (freq = 0.74409E+00 Hz)

span_loc	flap disp	flap slope	lag disp	lag slope	twist
 0.5000	-0.016316	-0.055079	-0.000913	-0.002065	 0.084474
 0.5250	 	 	 	 	 0.090459
 0.5500	-0.018690	-0.041269	-0.000970	-0.000226	 0.095290
 0.5750	 	 	 	 	 0.100137
 0.6000	-0.020046	-0.013562	-0.000910	 0.002650	 0.103543
 0.6250	 	 	 	 	 0.106384
 0.6500	-0.019565	 0.033381	-0.000682	 0.006590	 0.107583
 0.6750	 	 	 	 	 0.107243
 0.7000	-0.016088	 0.107741	-0.000232	 0.011557	 0.105272
 0.7250	 	 	 	 	 0.100665
 0.7500	-0.008704	 0.191634	 0.000452	 0.016152	 0.094707
 0.7750	 	 	 	 	 0.085476
 0.8000	 0.002794	 0.274327	 0.001339	 0.019847	 0.075786
 0.8250	 	 	 	 	 0.061942
 0.8500	 0.018149	 0.347771	 0.002380	 0.022436	 0.049181
 0.8750	 	 	 	 	 0.034666
 0.9000	 0.036571	 0.399194	 0.003513	 0.023711	 0.023353
 0.9250	 	 	 	 	 0.010231
 0.9500	 0.056885	 0.426118	 0.004684	 0.024140	 0.003238
 0.9750	 	 	 	 	-0.025004
 1.0000	 0.079228	 0.468525	 0.005877	 0.024526	-0.035100


 -------- Mode No.   4  (freq = 0.42753E+01 Hz)

span_loc	flap disp	flap slope	lag disp	lag slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0250	 	 	 	 	-0.000298
 0.0500	 0.000037	 0.001448	 0.000295	 0.011728	-0.000595
 0.0750	 	 	 	 	-0.000970
 0.1000	 0.000160	 0.003509	 0.001123	 0.021791	-0.001343
 0.1250	 	 	 	 	-0.002311
 0.1500	 0.000434	 0.007472	 0.002595	 0.037678	-0.003265
 0.1750	 	 	 	 	-0.004637
 0.2000	 0.000886	 0.010769	 0.004790	 0.051280	-0.005959
 0.2250	 	 	 	 	-0.010230
 0.2500	 0.001500	 0.013864	 0.007541	 0.060411	-0.014240
 0.2750	 	 	 	 	-0.024157
 0.3000	 0.002201	 0.014313	 0.010620	 0.064485	-0.033152
 0.3250	 	 	 	 	-0.042018
 0.3500	 0.002842	 0.011467	 0.013720	 0.061406	-0.049605
 0.3750	 	 	 	 	-0.056424
 0.4000	 0.003251	 0.004933	 0.016490	 0.051094	-0.061705
 0.4250	 	 	 	 	-0.065686
 0.4500	 0.003230	-0.005889	 0.018574	 0.033584	-0.068131
 0.4750	 	 	 	 	-0.069340
 0.5000	 0.002548	-0.021665	 0.019606	 0.008265	-0.069052
 0.5250	 	 	 	 	-0.067161
 0.5500	 0.000993	-0.040934	 0.019241	-0.023192	-0.064058
 0.5750	 	 	 	 	-0.058848
 0.6000	-0.001501	-0.059047	 0.017140	-0.062333	-0.053011
 0.6250	 	 	 	 	-0.044798
 0.6500	-0.004658	-0.066855	 0.012934	-0.108728	-0.037032
 0.6750	 	 	 	 	-0.027901
 0.7000	-0.007622	-0.050246	 0.006407	-0.156707	-0.020624
 0.7250	 	 	 	 	-0.013569
 0.7500	-0.008971	-0.002297	-0.002500	-0.205581	-0.009846
 0.7750	 	 	 	 	-0.009210
 0.8000	-0.007298	 0.070351	-0.013695	-0.249822	-0.012417
 0.8250	 	 	 	 	-0.021340
 0.8500	-0.001669	 0.155306	-0.026936	-0.288644	-0.032746
 0.8750	 	 	 	 	-0.048928
 0.9000	 0.007905	 0.227960	-0.041679	-0.311794	-0.063730
 0.9250	 	 	 	 	-0.083252
 0.9500	 0.020383	 0.272634	-0.057268	-0.323800	-0.094777
 0.9750	 	 	 	 	-0.147334
 1.0000	 0.036555	 0.351611	-0.073667	-0.340113	-0.167020


 -------- Mode No.   5  (freq = 0.47250E+01 Hz)

span_loc	flap disp	flap slope	lag disp	lag slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0250	 	 	 	 	-0.000442
 0.0500	 0.000131	 0.005186	-0.000045	-0.001777	-0.000884
 0.0750	 	 	 	 	-0.001441
 0.1000	 0.000518	 0.010449	-0.000163	-0.003031	-0.001995
 0.1250	 	 	 	 	-0.003433
 0.1500	 0.001258	 0.019353	-0.000356	-0.004759	-0.004852
 0.1750	 	 	 	 	-0.006893
 0.2000	 0.002397	 0.026679	-0.000626	-0.006223	-0.008865
 0.2250	 	 	 	 	-0.015242
 0.2500	 0.003859	 0.032352	-0.000948	-0.006919	-0.021227
 0.2750	 	 	 	 	-0.035994
 0.3000	 0.005487	 0.033321	-0.001299	-0.007374	-0.049316
 0.3250	 	 	 	 	-0.062311
 0.3500	 0.007007	 0.028053	-0.001660	-0.007347	-0.073232
 0.3750	 	 	 	 	-0.082735
 0.4000	 0.008096	 0.015842	-0.002009	-0.006857	-0.089666
 0.4250	 	 	 	 	-0.094279
 0.4500	 0.008385	-0.004342	-0.002325	-0.005941	-0.096250
 0.4750	 	 	 	 	-0.095643
 0.5000	 0.007441	-0.033918	-0.002584	-0.004470	-0.092391
 0.5250	 	 	 	 	-0.085694
 0.5500	 0.004849	-0.070589	-0.002755	-0.002277	-0.076792
 0.5750	 	 	 	 	-0.062999
 0.6000	 0.000416	-0.107390	-0.002773	 0.001853	-0.048039
 0.6250	 	 	 	 	-0.027147
 0.6500	-0.005503	-0.129178	-0.002513	 0.009097	-0.007165
 0.6750	 	 	 	 	 0.017025
 0.7000	-0.011551	-0.110662	-0.001815	 0.019603	 0.037392
 0.7250	 	 	 	 	 0.059328
 0.7500	-0.015270	-0.035897	-0.000521	 0.033084	 0.074114
 0.7750	 	 	 	 	 0.084436
 0.8000	-0.014032	 0.086814	 0.001454	 0.046964	 0.085983
 0.8250	 	 	 	 	 0.077972
 0.8500	-0.005971	 0.235480	 0.004082	 0.059403	 0.063211
 0.8750	 	 	 	 	 0.039058
 0.9000	 0.009084	 0.365633	 0.007193	 0.066814	 0.015249
 0.9250	 	 	 	 	-0.017727
 0.9500	 0.029389	 0.447172	 0.010561	 0.070194	-0.037879
 0.9750	 	 	 	 	-0.133362
 1.0000	 0.056536	 0.593942	 0.014136	 0.074263	-0.169611


 -------- Mode No.   6  (freq = 0.80191E+01 Hz)

span_loc	flap disp	flap slope	lag disp	lag slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
