Blade section properties
49	n_secs:	number of blade or tower sections at which properties are specified (-)

sec_loc	str_tw	tw_iner	mass_den	flp_iner	edge_iner	flp_stff	edge_stff	tor_stff	axial_stff	cg_offst	sc_offst	tc_offst
(-)	(deg)	(deg)	(kg/m)		(kg-m)		(kg-m)		(Nm^2)		(Nm^2)		(Nm^2)		(N)		(m)		(m)		(m)
0.66667	  3.559	  3.559	 169.74		    0.47	   26.87	1.40E+08	1.23E+09	3.30E+07	2.21E+09	6.27E-01	1.54E-01	0.00E+00
0.68750	  3.232	  3.232	 161.70		    0.37	   24.93	1.19E+08	1.14E+09	2.97E+07	2.10E+09	6.11E-01	1.60E-01	0.00E+00
0.70833	  2.941	  2.941	 154.67		    0.29	   23.25	1.08E+08	1.02E+09	2.62E+07	2.01E+09	5.96E-01	1.66E-01	0.00E+00
0.72917	  2.683	  2.683	 144.02		    0.21	   21.10	9.64E+07	8.64E+08	2.18E+07	1.87E+09	5.80E-01	1.71E-01	0.00E+00
0.75000	  2.442	  2.442	 135.86		    0.15	   19.40	8.61E+07	7.66E+08	1.89E+07	1.77E+09	5.65E-01	1.75E-01	0.00E+00
0.77083	  2.196	  2.196	 129.69		    0.14	   17.52	7.65E+07	7.11E+08	1.74E+07	1.69E+09	5.50E-01	1.79E-01	0.00E+00
0.79167	  1.948	  1.948	 114.04		    0.11	   14.55	6.59E+07	5.74E+08	1.42E+07	1.48E+09	5.34E-01	1.82E-01	0.00E+00
0.81250	  1.701	  1.701	 103.89		    0.10	   12.51	5.69E+07	4.92E+08	1.22E+07	1.35E+09	5.19E-01	1.85E-01	0.00E+00
0.83333	  1.453	  1.453	  98.76		    0.09	   11.21	4.95E+07	4.55E+08	1.11E+07	1.28E+09	5.04E-01	1.88E-01	0.00E+00
0.85417	  1.202	  1.202	  93.42		    0.07	   10.06	4.26E+07	4.16E+08	1.01E+07	1.21E+09	4.89E-01	1.90E-01	0.00E+00
0.87500	  0.952	  0.952	  85.57		    0.05	    8.82	3.61E+07	3.68E+08	8.73E+06	1.11E+09	4.74E-01	1.92E-01	0.00E+00
0.89583	  0.708	  0.708	  72.76		    0.02	    7.20	3.03E+07	3.04E+08	7.02E+06	9.46E+08	4.57E-01	1.92E-01	0.00E+00
0.91667	  0.459	  0.459	  67.11		    0.04	    5.76	2.47E+07	2.69E+08	6.50E+06	8.72E+08	4.38E-01	1.91E-01	0.00E+00
0.93750	  0.265	  0.265	  54.48		    0.03	    4.10	1.46E+07	1.30E+08	3.19E+06	7.08E+08	4.10E-01	1.86E-01	0.00E+00
0.95833	  0.124	  0.124	  45.48		    0.02	    2.57	7.29E+06	8.33E+07	2.00E+06	5.91E+08	3.55E-01	1.66E-01	0.00E+00
0.97917	  0.029	  0.029	  10.45		    0.00	    0.36	1.79E+05	5.19E+06	1.19E+05	1.36E+08	2.78E-01	1.35E-01	0.00E+00
1.00000	  0.000	  0.000	  10.32		    0.00	    0.17	4.09E+06	8.81E+07	2.04E+06	1.34E+08	1.92E-01	9.61E-02	0.00E+00
