x y
484178.55 5715990.05
485465.898489364 5715809.12496875
486753.246978728 5715628.1999375
488040.595468092 5715447.27490626
489327.943957456 5715266.34987501
490615.29244682 5715085.42484376
491902.640936184 5714904.49981251
493189.989425548 5714723.57478126
494477.337914912 5714542.64975001
495764.686404276 5714361.72471877
497052.03489364 5714180.79968752
484359.475031248 5717277.39848936
485646.823520612 5717096.47345812
486934.172009976 5716915.54842687
488221.52049934 5716734.62339562
489508.868988704 5716553.69836437
490796.217478068 5716372.77333312
492083.565967432 5716191.84830188
493370.914456796 5716010.92327063
494658.26294616 5715829.99823938
495945.611435524 5715649.07320813
497232.959924889 5715468.14817688
484540.400062496 5718564.74697873
485827.74855186 5718383.82194748
487115.097041224 5718202.89691623
488402.445530588 5718021.97188498
489689.794019952 5717841.04685374
490977.142509316 5717660.12182249
492264.49099868 5717479.19679124
493551.839488044 5717298.27175999
494839.187977408 5717117.34672874
496126.536466773 5716936.4216975
497413.884956137 5716755.49666625
484721.325093744 5719852.09546809
486008.673583108 5719671.17043684
487296.022072472 5719490.2454056
488583.370561836 5719309.32037435
489870.7190512 5719128.3953431
491158.067540564 5718947.47031185
492445.416029928 5718766.5452806
493732.764519293 5718585.62024936
495020.113008657 5718404.69521811
496307.461498021 5718223.77018686
497594.809987385 5718042.84515561
484902.250124992 5721139.44395746
486189.598614356 5720958.51892621
487476.94710372 5720777.59389496
488764.295593084 5720596.66886371
490051.644082449 5720415.74383246
491338.992571813 5720234.81880122
492626.341061177 5720053.89376997
493913.689550541 5719872.96873872
495201.038039905 5719692.04370747
496488.386529269 5719511.11867622
497775.735018633 5719330.19364498
485083.17515624 5722426.79244682
486370.523645604 5722245.86741557
487657.872134969 5722064.94238432
488945.220624333 5721884.01735308
490232.569113697 5721703.09232183
491519.917603061 5721522.16729058
492807.266092425 5721341.24225933
494094.614581789 5721160.31722808
495381.963071153 5720979.39219684
496669.311560517 5720798.46716559
497956.660049881 5720617.54213434
485264.100187488 5723714.14093618
486551.448676853 5723533.21590494
487838.797166217 5723352.29087369
489126.145655581 5723171.36584244
490413.494144945 5722990.44081119
491700.842634309 5722809.51577994
492988.191123673 5722628.5907487
494275.539613037 5722447.66571745
495562.888102401 5722266.7406862
496850.236591765 5722085.81565495
498137.585081129 5721904.8906237
485445.025218737 5725001.48942555
486732.373708101 5724820.5643943
488019.722197465 5724639.63936305
489307.070686829 5724458.7143318
490594.419176193 5724277.78930056
491881.767665557 5724096.86426931
493169.116154921 5723915.93923806
494456.464644285 5723735.01420681
495743.813133649 5723554.08917556
497031.161623013 5723373.16414432
498318.510112377 5723192.23911307
485625.950249985 5726288.83791491
486913.298739349 5726107.91288366
488200.647228713 5725926.98785242
489487.995718077 5725746.06282117
490775.344207441 5725565.13778992
492062.692696805 5725384.21275867
493350.041186169 5725203.28772742
494637.389675533 5725022.36269618
495924.738164897 5724841.43766493
497212.086654261 5724660.51263368
485806.875281233 5727576.18640428
487094.223770597 5727395.26137303
488381.572259961 5727214.33634178
489668.920749325 5727033.41131053
490956.269238689 5726852.48627928
492243.617728053 5726671.56124804
493530.966217417 5726490.63621679
494818.314706781 5726309.71118554
496105.663196145 5726128.78615429
497393.011685509 5725947.86112304
