x y
484178.55 5715990.05
485515.411892801 5715802.1663137
486852.273785602 5715614.28262741
488189.135678403 5715426.39894111
489525.997571204 5715238.51525482
490862.859464006 5715050.63156852
492199.721356807 5714862.74788222
493536.583249608 5714674.86419593
494873.445142409 5714486.98050963
496210.30703521 5714299.09682333
497547.168928011 5714111.21313704
484366.433686296 5717326.9118928
485703.295579097 5717139.0282065
487040.157471898 5716951.14452021
488377.019364699 5716763.26083391
489713.881257501 5716575.37714762
491050.743150302 5716387.49346132
492387.605043103 5716199.60977502
493724.466935904 5716011.72608873
495061.328828705 5715823.84240243
496398.190721506 5715635.95871614
484554.317372592 5718663.7737856
485891.179265393 5718475.89009931
487228.041158194 5718288.00641301
488564.903050996 5718100.12272671
489901.764943797 5717912.23904042
491238.626836598 5717724.35535412
492575.488729399 5717536.47166783
493912.3506222 5717348.58798153
495249.212515001 5717160.70429523
496586.074407802 5716972.82060894
484742.201058888 5720000.6356784
486079.062951689 5719812.75199211
487415.92484449 5719624.86830581
488752.786737292 5719436.98461952
490089.648630093 5719249.10093322
491426.510522894 5719061.21724692
492763.372415695 5718873.33356063
494100.234308496 5718685.44987433
495437.096201297 5718497.56618803
496773.958094098 5718309.68250174
484930.084745184 5721337.4975712
486266.946637985 5721149.61388491
487603.808530787 5720961.73019861
488940.670423588 5720773.84651232
490277.532316389 5720585.96282602
491614.39420919 5720398.07913972
492951.256101991 5720210.19545343
494288.117994792 5720022.31176713
495624.979887593 5719834.42808084
496961.841780394 5719646.54439454
485117.96843148 5722674.35946401
486454.830324282 5722486.47577771
487791.692217083 5722298.59209141
489128.554109884 5722110.70840512
490465.416002685 5721922.82471882
491802.277895486 5721734.94103253
493139.139788287 5721547.05734623
494476.001681088 5721359.17365993
495812.863573889 5721171.28997364
497149.72546669 5720983.40628734
485305.852117777 5724011.22135681
486642.714010578 5723823.33767051
487979.575903379 5723635.45398421
489316.43779618 5723447.57029792
490653.299688981 5723259.68661162
491990.161581782 5723071.80292533
493327.023474583 5722883.91923903
494663.885367384 5722696.03555273
496000.747260185 5722508.15186644
497337.609152987 5722320.26818014
485493.735804073 5725348.08324961
486830.597696874 5725160.19956331
488167.459589675 5724972.31587702
489504.321482476 5724784.43219072
490841.183375277 5724596.54850442
492178.045268078 5724408.66481813
493514.907160879 5724220.78113183
494851.76905368 5724032.89744554
496188.630946482 5723845.01375924
497525.492839283 5723657.13007294
485681.619490369 5726684.94514241
487018.48138317 5726497.06145611
488355.343275971 5726309.17776982
489692.205168772 5726121.29408352
491029.067061573 5725933.41039722
492365.928954374 5725745.52671093
493702.790847175 5725557.64302463
495039.652739977 5725369.75933834
496376.514632778 5725181.87565204
497713.376525579 5724993.99196574
485869.503176665 5728021.80703521
487206.365069466 5727833.92334891
488543.226962267 5727646.03966262
489880.088855068 5727458.15597632
491216.950747869 5727270.27229003
492553.81264067 5727082.38860373
493890.674533472 5726894.50491743
495227.536426273 5726706.62123114
496564.398319074 5726518.73754484
497901.260211875 5726330.85385855
