x y
484178.55 5715990.05
485564.925296238 5715795.20765866
486951.300592476 5715600.36531731
488337.675888715 5715405.52297597
489724.051184953 5715210.68063462
491110.426481191 5715015.83829328
492496.801777429 5714820.99595194
493883.177073667 5714626.15361059
495269.552369906 5714431.31126925
496655.927666144 5714236.4689279
484373.392341344 5717376.42529624
485759.767637582 5717181.58295489
487146.14293382 5716986.74061355
488532.518230059 5716791.89827221
489918.893526297 5716597.05593086
491305.268822535 5716402.21358952
492691.644118773 5716207.37124817
494078.019415011 5716012.52890683
495464.39471125 5715817.68656548
496850.770007488 5715622.84422414
484568.234682688 5718762.80059248
485954.609978926 5718567.95825113
487340.985275165 5718373.11590979
488727.360571403 5718178.27356844
490113.735867641 5717983.4312271
491500.111163879 5717788.58888576
492886.486460117 5717593.74654441
494272.861756356 5717398.90420307
495659.237052594 5717204.06186172
497045.612348832 5717009.21952038
484763.077024032 5720149.17588871
486149.45232027 5719954.33354737
487535.827616509 5719759.49120603
488922.202912747 5719564.64886468
490308.578208985 5719369.80652334
491694.953505223 5719174.96418199
493081.328801461 5718980.12184065
494467.7040977 5718785.27949931
495854.079393938 5718590.43715796
497240.454690176 5718395.59481662
484957.919365376 5721535.55118495
486344.294661615 5721340.70884361
487730.669957853 5721145.86650226
489117.045254091 5720951.02416092
490503.420550329 5720756.18181958
491889.795846567 5720561.33947823
493276.171142806 5720366.49713689
494662.546439044 5720171.65479554
496048.921735282 5719976.8124542
497435.29703152 5719781.97011286
485152.76170672 5722921.92648119
486539.137002959 5722727.08413985
487925.512299197 5722532.2417985
489311.887595435 5722337.39945716
490698.262891673 5722142.55711581
492084.638187911 5721947.71477447
493471.01348415 5721752.87243313
494857.388780388 5721558.03009178
496243.764076626 5721363.18775044
497630.139372864 5721168.34540909
485347.604048065 5724308.30177743
486733.979344303 5724113.45943609
488120.354640541 5723918.61709474
489506.729936779 5723723.7747534
490893.105233017 5723528.93241205
492279.480529256 5723334.09007071
493665.855825494 5723139.24772936
495052.231121732 5722944.40538802
496438.60641797 5722749.56304668
497824.981714208 5722554.72070533
485542.446389409 5725694.67707367
486928.821685647 5725499.83473232
488315.196981885 5725304.99239098
489701.572278123 5725110.15004964
491087.947574361 5724915.30770829
492474.3228706 5724720.46536695
493860.698166838 5724525.6230256
495247.073463076 5724330.78068426
496633.448759314 5724135.93834291
498019.824055552 5723941.09600157
485737.288730753 5727081.05236991
487123.664026991 5726886.21002856
488510.039323229 5726691.36768722
489896.414619467 5726496.52534587
491282.789915706 5726301.68300453
492669.165211944 5726106.84066319
494055.540508182 5725911.99832184
495441.91580442 5725717.1559805
496828.291100658 5725522.31363915
498214.666396897 5725327.47129781
485932.131072097 5728467.42766614
487318.506368335 5728272.5853248
488704.881664573 5728077.74298346
490091.256960811 5727882.90064211
491477.63225705 5727688.05830077
