x y
484178.55 5715990.05
485614.438699675 5715788.24900361
487050.327399351 5715586.44800722
488486.216099026 5715384.64701082
489922.104798701 5715182.84601443
491357.993498376 5714981.04501804
492793.882198052 5714779.24402165
494229.770897727 5714577.44302526
495665.659597402 5714375.64202886
497101.548297077 5714173.84103247
484380.350996392 5717425.93869967
485816.239696067 5717224.13770328
487252.128395743 5717022.33670689
488688.017095418 5716820.5357105
490123.905795093 5716618.73471411
491559.794494768 5716416.93371771
492995.683194444 5716215.13272132
494431.571894119 5716013.33172493
495867.460593794 5715811.53072854
497303.34929347 5715609.72973215
484582.151992784 5718861.82739935
486018.040692459 5718660.02640296
487453.929392135 5718458.22540657
488889.81809181 5718256.42441017
490325.706791485 5718054.62341378
491761.595491161 5717852.82241739
493197.484190836 5717651.021421
494633.372890511 5717449.22042461
496069.261590186 5717247.41942821
497505.150289862 5717045.61843182
484783.952989176 5720297.71609903
486219.841688852 5720095.91510263
487655.730388527 5719894.11410624
489091.619088202 5719692.31310985
490527.507787877 5719490.51211346
491963.396487553 5719288.71111707
493399.285187228 5719086.91012067
494835.173886903 5718885.10912428
496271.062586578 5718683.30812789
497706.951286254 5718481.5071315
484985.753985568 5721733.6047987
486421.642685244 5721531.80380231
487857.531384919 5721330.00280592
489293.420084594 5721128.20180952
490729.308784269 5720926.40081313
492165.197483945 5720724.59981674
493601.08618362 5720522.79882035
495036.974883295 5720320.99782396
496472.863582971 5720119.19682756
497908.752282646 5719917.39583117
485187.55498196 5723169.49349838
486623.443681636 5722967.69250198
488059.332381311 5722765.89150559
489495.221080986 5722564.0905092
490931.109780662 5722362.28951281
492366.998480337 5722160.48851642
493802.887180012 5721958.68752002
495238.775879687 5721756.88652363
496674.664579363 5721555.08552724
498110.553279038 5721353.28453085
485389.355978353 5724605.38219805
486825.244678028 5724403.58120166
488261.133377703 5724201.78020527
489697.022077378 5723999.97920888
491132.910777054 5723798.17821248
492568.799476729 5723596.37721609
494004.688176404 5723394.5762197
495440.576876079 5723192.77522331
496876.465575755 5722990.97422691
498312.35427543 5722789.17323052
485591.156974745 5726041.27089773
487027.04567442 5725839.46990133
488462.934374095 5725637.66890494
489898.823073771 5725435.86790855
491334.711773446 5725234.06691216
492770.600473121 5725032.26591577
494206.489172796 5724830.46491937
495642.377872472 5724628.66392298
497078.266572147 5724426.86292659
498514.155271822 5724225.0619302
485792.957971137 5727477.1595974
487228.846670812 5727275.35860101
488664.735370487 5727073.55760462
490100.624070163 5726871.75660823
491536.512769838 5726669.95561183
492972.401469513 5726468.15461544
494408.290169188 5726266.35361905
495844.178868864 5726064.55262266
497280.067568539 5725862.75162627
