x y
484178.55 5715990.05
486174.930426583 5715709.47702846
488171.310853166 5715428.90405693
490167.691279749 5715148.33108539
492164.071706332 5714867.75811386
494160.452132915 5714587.18514232
496156.832559498 5714306.61217079
498153.212986081 5714026.03919925
484459.122971535 5717986.43042658
486455.503398118 5717705.85745505
488451.883824701 5717425.28448351
490448.264251284 5717144.71151198
492444.644677868 5716864.13854044
494441.025104451 5716583.56556891
496437.405531034 5716302.99259737
484739.695943071 5719982.81085317
486736.076369654 5719702.23788163
488732.456796237 5719421.66491009
490728.83722282 5719141.09193856
492725.217649403 5718860.51896702
494721.598075986 5718579.94599549
496717.978502569 5718299.37302395
485020.268914606 5721979.19127975
487016.649341189 5721698.61830821
489013.029767772 5721418.04533668
491009.410194355 5721137.47236514
493005.790620938 5720856.89939361
495002.171047522 5720576.32642207
496998.551474105 5720295.75345054
485300.841886142 5723975.57170633
487297.222312725 5723694.9987348
489293.602739308 5723414.42576326
491289.983165891 5723133.85279173
493286.363592474 5722853.27982019
495282.744019057 5722572.70684865
497279.12444564 5722292.13387712
485581.414857677 5725971.95213292
487577.79528426 5725691.37916138
489574.175710843 5725410.80618984
491570.556137426 5725130.23321831
493566.936564009 5724849.66024677
495563.316990592 5724569.08727524
497559.697417175 5724288.5143037
485861.987829213 5727968.3325595
487858.368255796 5727687.75958796
489854.748682379 5727407.18661643
491851.129108962 5727126.61364489
493847.509535545 5726846.04067336
495843.889962128 5726565.46770182
497840.270388711 5726284.89473028
