x y
484178.55 5715990.05
485895.645123156 5715748.72801813
487612.740246312 5715507.40603626
489329.835369467 5715266.08405438
491046.930492623 5715024.76207251
492764.025615779 5714783.44009064
494481.120738935 5714542.11810877
496198.215862091 5714300.7961269
497915.310985247 5714059.47414503
484419.871981872 5717707.14512316
486136.967105027 5717465.82314128
487854.062228183 5717224.50115941
489571.157351339 5716983.17917754
491288.252474495 5716741.85719567
493005.347597651 5716500.5352138
494722.442720807 5716259.21323192
496439.537843962 5716017.89125005
484661.193963744 5719424.24024631
486378.289086899 5719182.91826444
488095.384210055 5718941.59628257
489812.479333211 5718700.2743007
491529.574456367 5718458.95231882
493246.669579523 5718217.63033695
494963.764702678 5717976.30835508
496680.859825834 5717734.98637321
484902.515945615 5721141.33536947
486619.611068771 5720900.0133876
488336.706191927 5720658.69140572
490053.801315083 5720417.36942385
491770.896438238 5720176.04744198
493487.991561394 5719934.72546011
495205.08668455 5719693.40347824
496922.181807706 5719452.08149637
485143.837927487 5722858.43049262
486860.933050643 5722617.10851075
488578.028173799 5722375.78652888
490295.123296954 5722134.46454701
492012.21842011 5721893.14256514
493729.313543266 5721651.82058326
495446.408666422 5721410.49860139
497163.503789578 5721169.17661952
485385.159909359 5724575.52561578
487102.255032514 5724334.20363391
488819.35015567 5724092.88165203
490536.445278826 5723851.55967016
492253.540401982 5723610.23768829
493970.635525138 5723368.91570642
495687.730648294 5723127.59372455
497404.825771449 5722886.27174268
485626.48189123 5726292.62073893
487343.577014386 5726051.29875706
489060.672137542 5725809.97677519
490777.767260698 5725568.65479332
492494.862383854 5725327.33281145
494211.957507009 5725086.01082958
495929.052630165 5724844.6888477
497646.147753321 5724603.36686583
485867.803873102 5728009.71586209
487584.898996258 5727768.39388022
489301.994119414 5727527.07189835
491019.08924257 5727285.74991648
492736.184365725 5727044.4279346
494453.279488881 5726803.10595273
496170.374612037 5726561.78397086
497887.469735193 5726320.46198899
