x y
484178.55 5715990.05
485862.995984929 5715753.31655527
487547.441969859 5715516.58311053
489231.887954788 5715279.8496658
490916.333939718 5715043.11622107
492600.779924647 5714806.38277633
494285.225909576 5714569.6493316
495969.671894506 5714332.91588687
497654.117879435 5714096.18244214
484415.283444733 5717674.49598493
486099.729429662 5717437.7625402
487784.175414592 5717201.02909546
489468.621399521 5716964.29565073
491153.067384451 5716727.562206
492837.51336938 5716490.82876126
494521.95935431 5716254.09531653
496206.405339239 5716017.3618718
497890.851324168 5715780.62842706
484652.016889466 5719358.94196986
486336.462874396 5719122.20852513
488020.908859325 5718885.47508039
489705.354844254 5718648.74163566
491389.800829184 5718412.00819093
493074.246814113 5718175.27474619
494758.692799043 5717938.54130146
496443.138783972 5717701.80785673
498127.584768901 5717465.07441199
484888.750334199 5721043.38795479
486573.196319129 5720806.65451005
488257.642304058 5720569.92106532
489942.088288987 5720333.18762059
491626.534273917 5720096.45417586
493310.980258846 5719859.72073112
494995.426243776 5719622.98728639
496679.872228705 5719386.25384166
485125.483778932 5722727.83393972
486809.929763862 5722491.10049498
488494.375748791 5722254.36705025
490178.82173372 5722017.63360552
491863.26771865 5721780.90016078
493547.713703579 5721544.16671605
495232.159688509 5721307.43327132
496916.605673438 5721070.69982659
485362.217223665 5724412.27992465
487046.663208595 5724175.54647991
488731.109193524 5723938.81303518
490415.555178454 5723702.07959045
492100.001163383 5723465.34614571
493784.447148312 5723228.61270098
495468.893133242 5722991.87925625
497153.339118171 5722755.14581151
485598.950668398 5726096.72590958
487283.396653328 5725859.99246484
488967.842638257 5725623.25902011
490652.288623187 5725386.52557538
492336.734608116 5725149.79213064
494021.180593045 5724913.05868591
495705.626577975 5724676.32524118
497390.072562904 5724439.59179644
485835.684113131 5727781.17189451
487520.130098061 5727544.43844977
489204.57608299 5727307.70500504
490889.02206792 5727070.97156031
492573.468052849 5726834.23811557
494257.914037779 5726597.50467084
495942.360022708 5726360.77122611
497626.806007637 5726124.03778137
