x y
484178.55 5715990.05
485978.065134517 5715737.14464094
487777.580269034 5715484.23928187
489577.095403552 5715231.33392281
491376.610538069 5714978.42856374
493176.125672586 5714725.52320468
494975.640807103 5714472.61784561
496775.15594162 5714219.71248655
484431.455359065 5717789.56513452
486230.970493582 5717536.65977545
488030.485628099 5717283.75441639
489830.000762616 5717030.84905732
491629.515897133 5716777.94369826
493429.031031651 5716525.03833919
495228.546166168 5716272.13298013
497028.061300685 5716019.22762106
484684.360718129 5719589.08026903
486483.875852646 5719336.17490997
488283.390987164 5719083.26955091
490082.906121681 5718830.36419184
491882.421256198 5718577.45883278
493681.936390715 5718324.55347371
495481.451525232 5718071.64811465
497280.96665975 5717818.74275558
484937.266077194 5721388.59540355
486736.781211711 5721135.69004449
488536.296346228 5720882.78468542
490335.811480745 5720629.87932636
492135.326615263 5720376.97396729
493934.84174978 5720124.06860823
495734.356884297 5719871.16324916
497533.872018814 5719618.2578901
485190.171436258 5723188.11053807
486989.686570776 5722935.205179
488789.201705293 5722682.29981994
490588.71683981 5722429.39446087
492388.231974327 5722176.48910181
494187.747108844 5721923.58374275
495987.262243362 5721670.67838368
497786.777377879 5721417.77302462
485443.076795323 5724987.62567259
487242.59192984 5724734.72031352
489042.107064358 5724481.81495446
490841.622198875 5724228.90959539
492641.137333392 5723976.00423633
494440.652467909 5723723.09887726
496240.167602426 5723470.1935182
498039.682736943 5723217.28815913
485695.982154388 5726787.1408071
487495.497288905 5726534.23544804
489295.012423422 5726281.33008897
491094.527557939 5726028.42472991
492894.042692457 5725775.51937084
494693.557826974 5725522.61401178
496493.072961491 5725269.70865272
498292.588096008 5725016.80329365
485948.887513452 5728586.65594162
487748.40264797 5728333.75058256
489547.917782487 5728080.84522349
491347.432917004 5727827.93986443
