x y
484178.55 5715990.05
486251.181067876 5715698.76069969
488323.812135752 5715407.47139938
490396.443203628 5715116.18209907
492469.074271504 5714824.89279876
494541.705339381 5714533.60349845
496614.336407257 5714242.31419814
484469.839300309 5718062.68106788
486542.470368185 5717771.39176757
488615.101436062 5717480.10246726
490687.732503938 5717188.81316695
492760.363571814 5716897.52386664
494832.99463969 5716606.23456633
496905.625707566 5716314.94526602
484761.128600619 5720135.31213575
486833.759668495 5719844.02283544
488906.390736371 5719552.73353513
490979.021804247 5719261.44423482
493051.652872123 5718970.15493451
495124.283939999 5718678.8656342
497196.915007875 5718387.5763339
485052.417900928 5722207.94320363
487125.048968804 5721916.65390332
489197.68003668 5721625.36460301
491270.311104557 5721334.0753027
493342.942172433 5721042.78600239
495415.573240309 5720751.49670208
497488.204308185 5720460.20740177
485343.707201238 5724280.5742715
487416.338269114 5723989.2849712
489488.96933699 5723697.99567089
491561.600404866 5723406.70637058
493634.231472742 5723115.41707027
495706.862540618 5722824.12776996
497779.493608494 5722532.83846965
485634.996501547 5726353.20533938
487707.627569423 5726061.91603907
489780.258637299 5725770.62673876
491852.889705175 5725479.33743845
493925.520773051 5725188.04813814
495998.151840928 5724896.75883783
498070.782908804 5724605.46953752
485926.285801856 5728425.83640726
487998.916869733 5728134.54710695
490071.547937609 5727843.25780664
492144.179005485 5727551.96850633
494216.810073361 5727260.67920602
