x y
484178.55 5715990.05
485973.906008628 5715737.72916796
487769.262017257 5715485.40833592
489564.618025885 5715233.08750388
491359.974034514 5714980.76667184
493155.330043142 5714728.4458398
494950.686051771 5714476.12500776
496746.042060399 5714223.80417572
484430.870832041 5717785.40600863
486226.226840669 5717533.08517659
488021.582849297 5717280.76434455
489816.938857926 5717028.44351251
491612.294866554 5716776.12268047
493407.650875183 5716523.80184843
495203.006883811 5716271.48101638
496998.36289244 5716019.16018434
484683.191664081 5719580.76201726
486478.54767271 5719328.44118522
488273.903681338 5719076.12035318
490069.259689967 5718823.79952114
491864.615698595 5718571.47868909
493659.971707224 5718319.15785705
495455.327715852 5718066.83702501
497250.68372448 5717814.51619297
484935.512496122 5721376.11802588
486730.86850475 5721123.79719384
488526.224513379 5720871.4763618
490321.580522007 5720619.15552976
492116.936530636 5720366.83469772
493912.292539264 5720114.51386568
495707.648547893 5719862.19303364
497503.004556521 5719609.8722016
485187.833328162 5723171.47403451
486983.189336791 5722919.15320247
488778.545345419 5722666.83237043
490573.901354048 5722414.51153839
492369.257362676 5722162.19070635
494164.613371305 5721909.86987431
495959.969379933 5721657.54904227
497755.325388562 5721405.22821023
485440.154160203 5724966.83004314
487235.510168831 5724714.5092111
489030.86617746 5724462.18837906
490826.222186088 5724209.86754702
492621.578194717 5723957.54671498
494416.934203345 5723705.22588294
496212.290211974 5723452.9050509
498007.646220602 5723200.58421886
485692.474992244 5726762.18605177
487487.831000872 5726509.86521973
489283.187009501 5726257.54438769
491078.543018129 5726005.22355565
492873.899026757 5725752.90272361
494669.255035386 5725500.58189157
496464.611044014 5725248.26105953
498259.967052643 5724995.94022749
485944.795824284 5728557.5420604
487740.151832913 5728305.22122836
489535.507841541 5728052.90039632
491330.86385017 5727800.57956428
