0.0	0.0
0.5	0.0
1.0	0.0
1.5	0.0
2.0	0.0
2.5	0.0
3.0	0.0
3.4	0.0
3.9	0.0
4.4	0.8237
4.9	0.8237
5.4	0.8237
5.9	0.8237
6.4	0.8237
6.9	0.8237
7.4	0.8237
7.9	0.8237
8.4	0.8237
8.9	0.8237
9.3	0.8237
9.8	0.8237
10.3	0.8237
10.8	0.8237
11.3	0.5671
11.8	0.481
12.3	0.4148
12.8	0.3618
13.3	0.3184
13.8	0.2821
14.3	0.2515
14.8	0.2254
15.2	0.2029
15.7	0.1834
16.2	0.1664
16.7	0.1515
17.2	0.1384
17.7	0.1267
18.2	0.1164
18.7	0.1072
19.2	0.0989
19.7	0.0915
20.2	0.0848
20.7	0.0788
21.1	0.0733
21.6	0.0683
22.1	0.0638
22.6	0.0597
23.1	0.0559
23.6	0.0524
24.1	0.0492
24.6	0.0463
25.1	0.0
25.6	0.0
26.1	0.0
26.6	0.0
27.0	0.0
27.5	0.0
28.0	0.0
28.5	0.0
29.0	0.0
29.5	0.0
30.0	0.0
