x y
484178.55 5715990.05
485476.890464927 5715807.58014733
486775.230929854 5715625.11029466
488073.571394781 5715442.64044199
489371.911859708 5715260.17058933
490670.252324635 5715077.70073666
491968.592789562 5714895.23088399
493266.93325449 5714712.76103132
494565.273719417 5714530.29117865
495863.614184344 5714347.82132598
497161.954649271 5714165.35147331
484361.019852669 5717288.39046493
485659.360317596 5717105.92061226
486957.700782523 5716923.45075959
488256.04124745 5716740.98090692
489554.381712377 5716558.51105425
490852.722177304 5716376.04120158
492151.062642231 5716193.57134891
493449.403107158 5716011.10149625
494747.743572085 5715828.63164358
496046.084037012 5715646.16179091
497344.424501939 5715463.69193824
484543.489705338 5718586.73092985
485841.830170265 5718404.26107719
487140.170635192 5718221.79122452
488438.511100119 5718039.32137185
489736.851565046 5717856.85151918
491035.192029973 5717674.38166651
492333.5324949 5717491.91181384
493631.872959827 5717309.44196117
494930.213424754 5717126.9721085
496228.553889681 5716944.50225584
497526.894354608 5716762.03240317
484725.959558006 5719885.07139478
486024.300022933 5719702.60154211
487322.64048786 5719520.13168944
488620.980952787 5719337.66183678
489919.321417715 5719155.19198411
491217.661882642 5718972.72213144
492516.002347569 5718790.25227877
493814.342812496 5718607.7824261
495112.683277423 5718425.31257343
496411.02374235 5718242.84272076
497709.364207277 5718060.37286809
484908.429410675 5721183.41185971
486206.769875602 5721000.94200704
487505.110340529 5720818.47215437
488803.450805456 5720636.0023017
490101.791270383 5720453.53244903
491400.13173531 5720271.06259636
492698.472200237 5720088.5927437
493996.812665165 5719906.12289103
495295.153130092 5719723.65303836
496593.493595019 5719541.18318569
497891.834059946 5719358.71333302
485090.899263344 5722481.75232464
486389.239728271 5722299.28247197
487687.580193198 5722116.8126193
488985.920658125 5721934.34276663
490284.261123052 5721751.87291396
491582.601587979 5721569.40306129
492880.942052906 5721386.93320862
494179.282517833 5721204.46335595
495477.62298276 5721021.99350329
496775.963447687 5720839.52365062
498074.303912614 5720657.05379795
485273.369116012 5723780.09278956
486571.709580939 5723597.62293689
487870.050045867 5723415.15308422
489168.390510794 5723232.68323156
490466.730975721 5723050.21337889
491765.071440648 5722867.74352622
493063.411905575 5722685.27367355
494361.752370502 5722502.80382088
495660.092835429 5722320.33396821
496958.433300356 5722137.86411554
498256.773765283 5721955.39426287
485455.838968681 5725078.43325449
486754.179433608 5724895.96340182
488052.519898535 5724713.49354915
489350.860363462 5724531.02369648
490649.200828389 5724348.55384381
491947.541293317 5724166.08399115
493245.881758244 5723983.61413848
494544.222223171 5723801.14428581
495842.562688098 5723618.67443314
497140.903153025 5723436.20458047
485638.30882135 5726376.77371942
486936.649286277 5726194.30386675
488234.989751204 5726011.83401408
489533.330216131 5725829.36416141
490831.670681058 5725646.89430874
492130.011145985 5725464.42445607
493428.351610912 5725281.9546034
494726.692075839 5725099.48475073
496025.032540766 5724917.01489807
497323.373005694 5724734.5450454
485820.778674019 5727675.11418434
487119.119138946 5727492.64433168
488417.459603873 5727310.17447901
489715.8000688 5727127.70462634
491014.140533727 5726945.23477367
492312.480998654 5726762.764921
493610.821463581 5726580.29506833
494909.161928508 5726397.82521566
496207.502393435 5726215.35536299
497505.842858362 5726032.88551033
