x y
484178.55 5715990.05
486278.908573801 5715694.86385286
488379.267147602 5715399.67770573
490479.625721403 5715104.49155859
492579.984295203 5714809.30541145
494680.342869004 5714514.11926432
496780.701442805 5714218.93311718
484473.736147136 5718090.4085738
486574.094720937 5717795.22242666
488674.453294738 5717500.03627953
490774.811868539 5717204.85013239
492875.17044234 5716909.66398526
494975.529016141 5716614.47783812
497075.887589941 5716319.29169098
484768.922294273 5720190.7671476
486869.280868073 5719895.58100046
488969.639441874 5719600.39485333
491069.998015675 5719305.20870619
493170.356589476 5719010.02255906
495270.715163277 5718714.83641192
497371.073737078 5718419.65026478
485064.108441409 5722291.1257214
487164.46701521 5721995.93957427
489264.825589011 5721700.75342713
491365.184162811 5721405.56727999
493465.542736612 5721110.38113286
495565.901310413 5720815.19498572
497666.259884214 5720520.00883858
485359.294588545 5724391.4842952
487459.653162346 5724096.29814807
489560.011736147 5723801.11200093
491660.370309948 5723505.92585379
493760.728883749 5723210.73970666
495861.08745755 5722915.55355952
497961.44603135 5722620.36741239
485654.480735681 5726491.842869
487754.839309482 5726196.65672187
489855.197883283 5725901.47057473
491955.556457084 5725606.2844276
494055.915030885 5725311.09828046
496156.273604686 5725015.91213332
498256.632178487 5724720.72598619
485949.666882818 5728592.20144281
488050.025456619 5728297.01529567
490150.38403042 5728001.82914853
492250.74260422 5727706.6430014
