x y
484178.55 5715990.05
486029.361020478 5715729.93547431
487880.172040956 5715469.82094861
489730.983061434 5715209.70642292
491581.794081912 5714949.59189722
493432.60510239 5714689.47737153
495283.416122868 5714429.36284583
497134.227143346 5714169.24832014
484438.664525694 5717840.86102048
486289.475546172 5717580.74649478
488140.28656665 5717320.63196909
489991.097587128 5717060.51744339
491841.908607606 5716800.4029177
493692.719628084 5716540.28839201
495543.530648562 5716280.17386631
497394.34166904 5716020.05934062
484698.779051389 5719691.67204096
486549.590071867 5719431.55751526
488400.401092345 5719171.44298957
490251.212112823 5718911.32846387
492102.023133301 5718651.21393818
493952.834153779 5718391.09941248
495803.645174257 5718130.98488679
497654.456194735 5717870.8703611
484958.893577083 5721542.48306143
486809.704597561 5721282.36853574
488660.515618039 5721022.25401004
490511.326638517 5720762.13948435
492362.137658995 5720502.02495866
494212.948679473 5720241.91043296
496063.759699951 5719981.79590727
497914.570720429 5719721.68138157
485219.008102777 5723393.29408191
487069.819123255 5723133.17955622
488920.630143733 5722873.06503052
490771.441164211 5722612.95050483
492622.252184689 5722352.83597913
494473.063205167 5722092.72145344
496323.874225645 5721832.60692775
498174.685246123 5721572.49240205
485479.122628472 5725244.10510239
487329.93364895 5724983.9905767
489180.744669428 5724723.876051
491031.555689906 5724463.76152531
492882.366710384 5724203.64699961
494733.177730862 5723943.53247392
496583.98875134 5723683.41794822
498434.799771818 5723423.30342253
485739.237154166 5727094.91612287
487590.048174644 5726834.80159717
489440.859195122 5726574.68707148
491291.6702156 5726314.57254578
493142.481236078 5726054.45802009
494993.292256556 5725794.3434944
496844.103277034 5725534.2289687
498694.914297512 5725274.11444301
485999.35167986 5728945.72714335
