x y
484178.55 5715990.05
485977.857178223 5715737.17386729
487777.164356445 5715484.29773457
489576.471534668 5715231.42160186
491375.778712891 5714978.54546915
493175.085891114 5714725.66933643
494974.393069336 5714472.79320372
496773.700247559 5714219.91707101
484431.426132713 5717789.35717822
486230.733310936 5717536.48104551
488030.040489159 5717283.6049128
489829.347667382 5717030.72878008
491628.654845604 5716777.85264737
493427.962023827 5716524.97651466
495227.26920205 5716272.10038194
497026.576380273 5716019.22424923
484684.302265427 5719588.66435645
486483.60944365 5719335.78822373
488282.916621872 5719082.91209102
490082.223800095 5718830.03595831
491881.530978318 5718577.15982559
493680.838156541 5718324.28369288
495480.145334763 5718071.40756017
497279.452512986 5717818.53142745
484937.17839814 5721387.97153467
486736.485576363 5721135.09540195
488535.792754586 5720882.21926924
490335.099932808 5720629.34313653
492134.407111031 5720376.46700381
493933.714289254 5720123.5908711
495733.021467477 5719870.71473839
497532.328645699 5719617.83860567
485190.054530854 5723187.27871289
486989.361709076 5722934.40258018
488788.668887299 5722681.52644746
490587.976065522 5722428.65031475
492387.283243745 5722175.77418204
494186.590421967 5721922.89804932
495985.89760019 5721670.02191661
497785.204778413 5721417.1457839
485442.930663567 5724986.58589111
487242.23784179 5724733.7097584
489041.545020013 5724480.83362569
490840.852198235 5724227.95749297
492640.159376458 5723975.08136026
494439.466554681 5723722.20522755
496238.773732904 5723469.32909483
498038.080911126 5723216.45296212
485695.806796281 5726785.89306934
487495.113974503 5726533.01693662
489294.421152726 5726280.14080391
491093.728330949 5726027.2646712
492893.035509172 5725774.38853848
494692.342687394 5725521.51240577
496491.649865617 5725268.63627306
498290.95704384 5725015.76014034
485948.682928994 5728585.20024756
487747.990107217 5728332.32411485
489547.297285439 5728079.44798213
491346.604463662 5727826.57184942
