x y
484178.55 5737534.4
486084.816032328 5737266.49178065
487991.082064655 5736998.5835613
489897.348096983 5736730.67534196
491803.61412931 5736462.76712261
493709.880161638 5736194.85890326
495616.146193965 5735926.95068391
497522.412226293 5735659.04246456
499428.67825862 5735391.13424521
501334.944290948 5735123.22602587
483910.641780652 5735628.13396767
485816.907812979 5735360.22574832
487723.173845307 5735092.31752898
489629.439877634 5734824.40930963
491535.705909962 5734556.50109028
493441.971942289 5734288.59287093
495348.237974617 5734020.68465158
497254.504006945 5733752.77643224
499160.770039272 5733484.86821289
501067.0360716 5733216.95999354
483642.733561304 5733721.86793535
485548.999593631 5733453.959716
487455.265625959 5733186.05149665
489361.531658286 5732918.1432773
491267.797690614 5732650.23505795
493174.063722941 5732382.32683861
495080.329755269 5732114.41861926
496986.595787596 5731846.51039991
498892.861819924 5731578.60218056
500799.127852251 5731310.69396121
483374.825341956 5731815.60190302
485281.091374283 5731547.69368367
487187.357406611 5731279.78546432
489093.623438938 5731011.87724497
490999.889471266 5730743.96902562
492906.155503593 5730476.06080628
494812.421535921 5730208.15258693
496718.687568248 5729940.24436758
498624.953600576 5729672.33614823
500531.219632903 5729404.42792888
