x y
484178.55 5715990.05
485881.01886378 5715750.78360483
487583.487727561 5715511.51720966
489285.956591341 5715272.25081449
490988.425455122 5715032.98441932
492690.894318903 5714793.71802415
494393.363182683 5714554.45162898
496095.832046464 5714315.18523381
497798.300910244 5714075.91883864
484417.816395171 5717692.51886378
486120.285258951 5717453.25246861
487822.754122732 5717213.98607344
489525.222986512 5716974.71967827
491227.691850293 5716735.4532831
492930.160714073 5716496.18688793
494632.629577854 5716256.92049276
496335.098441634 5716017.65409759
498037.567305415 5715778.38770242
484657.082790341 5719394.98772756
486359.551654122 5719155.72133239
488062.020517902 5718916.45493722
489764.489381683 5718677.18854205
491466.958245463 5718437.92214688
493169.427109244 5718198.65575171
494871.895973024 5717959.38935654
496574.364836805 5717720.12296137
484896.349185512 5721097.45659134
486598.818049292 5720858.19019617
488301.286913073 5720618.923801
490003.755776853 5720379.65740583
491706.224640634 5720140.39101066
493408.693504414 5719901.12461549
495111.162368195 5719661.85822032
496813.631231975 5719422.59182515
485135.615580682 5722799.92545512
486838.084444463 5722560.65905995
488540.553308243 5722321.39266478
490243.022172024 5722082.12626961
491945.491035804 5721842.85987444
493647.959899585 5721603.59347927
495350.428763365 5721364.3270841
497052.897627146 5721125.06068893
485374.881975853 5724502.3943189
487077.350839633 5724263.12792373
488779.819703414 5724023.86152856
490482.288567194 5723784.59513339
492184.757430975 5723545.32873822
493887.226294755 5723306.06234305
495589.695158536 5723066.79594788
497292.164022316 5722827.52955271
485614.148371023 5726204.86318268
487316.617234804 5725965.59678751
489019.086098584 5725726.33039234
490721.554962365 5725487.06399717
492424.023826145 5725247.797602
494126.492689926 5725008.53120683
495828.961553706 5724769.26481166
497531.430417487 5724529.99841649
485853.414766194 5727907.33204646
487555.883629974 5727668.06565129
489258.352493755 5727428.79925612
490960.821357535 5727189.53286095
492663.290221316 5726950.26646578
494365.759085096 5726711.00007061
496068.227948877 5726471.73367544
497770.696812657 5726232.46728027
