wind_speed,wind_direction
13.316,210.88
13.658,212.25
13.671,213.99
13.939,219.73
11.772,237.46
8.8944,278.53
7.8626,277.94
8.9908,263.13
10.528,258.96
11.158,256.38
11.204,255.11
10.707,256.5
10.528,256.51
10.744,257.25
10.006,259.37
9.9116,270.49
9.8954,300.47
10.995,322.66
9.8806,317.34
10.021,308.3
9.521,300.67
9.368,300.49
9.8325,318.01
10.753,334
10.657,335.96
10.651,331.08
10.614,326.95
10.433,329.47
10.043,335.7
9.7223,344.61
8.6684,346.1
7.9712,356.76
6.5784,0.94975
5.3313,0.45476
3.6494,3.9764
1.6877,356.9
1.0456,263.65
2.7837,229.98
4.4644,224.73
5.5829,221.05
6.3789,216.9
6.8214,216.69
6.6709,214.25
5.6672,210.98
5.2209,209.47
5.21,207.29
5.6655,200.35
6.0445,190.54
6.4737,184.58
6.777,182.9
6.8259,182
6.7549,180.3
6.6373,174.89
6.3932,172.59
6.6292,170.43
6.6146,168.55
6.5591,167.68
6.871,164.52
6.9983,163.95
6.9021,163.24
6.503,159.63
6.6184,152.58
7.08,147.78
7.567,145.43
7.6792,145.08
7.229,147.83
6.5422,144.61
6.2419,142.86
6.1063,137.11
6.2113,129.55
6.8545,126.82
7.6296,124.94
8.0835,123.56
8.1457,123.76
8.0208,124.67
7.8566,124.49
7.7732,123.68
7.9611,126.11
7.6487,126.85
7.0014,127.22
6.3481,126.45
6.3603,121.64
6.316,118.26
6.2335,112.97
5.8958,108.33
5.5964,106.41
5.3797,106.44
5.2733,107.86
4.8307,109.63
3.8413,101.28
2.9844,87.834
2.7362,74.45
2.7635,62.851
3.1406,55.744
3.9268,54.487
4.6533,60.646
4.9422,68.519
4.7236,75.759
4.14,84.45
3.5673,93.736
3.1605,109.08
2.1186,141.76
1.3145,171.73
0.83075,256.55
1.4367,285.86
1.6757,288.67
1.9462,280.23
2.1544,262.89
2.8503,255.19
3.5897,266.97
3.8431,269.62
3.8648,258.19
4.3168,248.16
5.0434,238.17
5.1695,233.32
5.0716,232.56
5.1896,235.67
5.4173,237.48
5.6963,235.22
6.0224,228.03
6.7539,223.84
7.1472,221.99
7.4725,219.24
7.7495,215.32
7.907,206.03
7.7937,200.8
8.1828,195.29
8.6455,188.72
9.0381,183.78
9.5513,181.15
10.112,179.65
10.68,178.03
10.983,176.48
11.227,177.78
11.406,178.21
11.533,176.99
11.911,176.75
10.159,176.5
10.113,179.64
9.8791,182.41
10.245,188.37
9.5463,191.27
8.935,191.45
8.2563,193.14
7.8686,192.96
7.6791,191.42
7.7338,191.61
7.766,190.27
7.6151,189.85
6.9746,184.97
6.9947,180.18
6.8059,174.51
6.3929,166.38
6.1616,159.44
5.482,155.96
4.9418,153.8
4.497,143.88
4.4818,131.2
4.445,119.6
4.3821,106.31
4.2609,93.395
3.9621,86.833
4.459,76.471
4.6689,68.015
4.618,60.705
4.7484,58.882
4.5944,58.071
4.2159,53.961
4.2583,51.212
4.1431,50.803
4.128,57.047
3.8794,68.251
3.3661,80.426
1.8436,99.276
1.4099,97.645
1.352,82.969
1.3634,86.183
0.95416,87.67
0.86917,91.666
1.3372,100.66
1.9236,110.57
2.5116,118.81
3.5144,124.78
4.0017,133.43
3.9721,135.27
3.7123,139.72
3.1004,149.41
2.3489,153.4
2.5686,155.76
2.3485,162.26
2.1439,157.34
3.0173,139.94
3.7064,129.58
4.0741,119.86
4.802,115.63
5.0185,116.3
4.7481,119.47
3.4426,117.36
3.2217,119.19
3.1342,126.57
2.7297,134.93
3.0607,135.93
3.3859,139.27
3.1204,145.06
3.6371,145.59
4.8812,147.63
5.7088,141.95
6.1593,151.36
6.6735,164.5
6.8817,170.09
7.4354,183.09
8.2033,194.6
9.9696,201
10.79,207.15
11.302,212.79
11.447,221.46
10.702,234.36
10.145,253.76
10.476,273.98
11.292,283.83
11.431,286.2
11.585,285.66
11.557,284.87
11.367,282.4
11.581,276.13
11.793,273.26
12.208,267.87
12.771,264.51
13.085,265.56
12.668,268.3
11.88,267.62
11.097,261.38
10.919,254.22
10.31,254.71
10.323,244.87
10.538,237.5
10.737,235.89
10.751,233.53
10.719,229.54
10.541,223.9
10.877,219.71
11.307,216.15
11.604,210.44
12.492,210.7
13.108,208.75
12.873,207.93
13.204,207.99
13.667,209.28
13.468,212.52
13.16,213.62
12.589,214.89
11.97,214.09
11.575,217.27
10.92,219.97
9.7991,223.59
8.1604,228.76
6.4215,239.58
7.0071,287.36
9.9116,320.47
10.108,319.49
9.236,303.75
10.001,289.35
11.258,281.22
11.737,276.5
12.001,268.87
12.905,262.36
13.518,258.69
14.438,254.74
14.56,249.27
12.193,250.47
10.067,264.6
10.303,289.42
10.759,306.16
11.146,316.09
10.993,322.33
11.423,325.54
12.898,328.04
15.104,332.05
16.563,335.65
16.833,339.55
15.697,342.81
13.136,339.85
12.714,340.84
12.547,339.8
11.783,337.67
11.017,334.52
11.357,332.8
11.017,330.77
10.363,329.76
9.6797,329.26
9.3238,326.94
9.6193,324.42
8.7631,325.21
6.9794,325.82
7.0423,314.18
6.8405,306.36
6.7156,298.1
6.2674,292.44
5.94,277.36
6.0283,261.23
6.5729,245.51
7.5715,234.52
8.0373,224.83
8.4988,216.61
8.5566,211.93
8.1407,207.31
7.9181,201.31
7.9414,198.99
7.5861,194.42
7.2161,186.29
7.446,180.22
7.9674,176.79
8.4513,168.19
8.6337,168.43
8.8759,166.95
8.734,165.1
8.0838,159.82
7.7468,154.64
7.7511,150.61
7.4905,149.61
6.9372,144.56
6.7041,136.9
7.0007,133.96
6.5836,132.4
6.0874,129.51
5.6378,128.67
5.2947,125.28
5.0671,121
4.7309,120.7
2.9871,139.41
1.6424,173.49
0.57545,250.68
0.69241,314.31
0.74881,307.44
0.816,270.97
0.79264,235.26
1.3785,201.68
2.4845,194.35
3.323,204.04
3.7896,220.13
4.5665,240.67
4.7636,268.55
5.8843,275.55
6.0309,275.73
6.1133,272.13
6.0395,263.97
6.2877,252.25
6.1473,242.55
6.1375,232.29
6.3756,221.31
6.6947,216.86
6.8775,214.42
6.7112,210.36
5.2382,205.14
5.1757,195.59
5.2335,191.55
5.5642,188.67
5.5501,183.26
4.8742,171.46
4.9703,148.99
5.915,130.83
6.5514,120.21
7.0793,112.34
7.0766,111.3
7.7375,98.536
9.1314,83.813
9.3796,92.377
9.3852,93.381
9.6827,91.346
9.7521,93.593
9.5283,93.458
9.6622,86.454
9.5066,89.539
8.9147,90.844
8.0458,87.325
7.6128,87.087
7.1353,87.058
5.6005,90.135
4.952,91.989
4.8242,108.98
4.2129,114.12
3.3745,105.75
3.4337,108.42
3.8075,99.008
4.3665,75.166
5.4739,70.851
5.4973,81.072
4.7881,79.719
4.5237,66.201
4.921,57.716
5.1255,45.034
5.7435,41.955
6.0748,42.197
6.1699,37.491
6.2363,34.173
6.3711,37.714
6.1811,39.104
6.0196,41.614
5.7555,42.603
5.7145,37.612
5.593,34.5
5.6999,34.623
5.8669,37.892
5.634,33.744
5.7413,30.795
5.5373,31.49
5.2991,32.343
5.0952,23.993
5.3099,15.583
5.3199,12.749
4.8492,9.2675
5.0465,1.6883
5.5721,359.33
5.5732,355.32
6.2811,350.02
6.6526,350.94
7.0195,352.3
7.3742,355.55
7.6115,357.01
7.5712,355.85
7.1831,352.27
6.4979,348.23
5.727,343.56
5.8271,334.54
6.1399,324.82
5.0923,315.8
5.1236,312.33
5.8078,318.32
5.5564,317.02
5.0106,318.73
5.3046,312.61
3.729,299.57
4.0791,278.27
5.1462,264.38
5.8244,249.25
6.5061,231.29
7.7603,226.12
9.3974,221.8
10.087,216.16
10.479,210.75
11.078,213.97
11.248,213.08
11.1,212.23
11.229,207.99
11.177,200.55
11.505,199.55
11.853,196.84
12.429,193.99
12.781,191.26
12.715,194.47
13.149,195.33
14.046,197.82
14.485,198.41
15.049,200.14
14.685,204.12
14.523,205.91
13.879,207.9
13.228,209.86
12.562,212.82
12.128,216.89
11.588,220.28
10.186,229.06
8.717,230.82
7.7293,228.89
7.1991,227.64
7.2784,222.63
7.3634,221.19
7.2313,222.4
7.0397,223.31
7.0575,223.16
7.0807,227.33
6.7324,229.77
6.3204,229.77
5.8721,235.82
5.6796,239.26
5.399,236.67
5.2394,232.09
5.231,221.72
5.3621,208.57
5.5141,190.39
6.4374,178.78
7.0015,179.35
7.5787,182.66
8.1764,182.41
8.7628,183.09
9.2342,187.41
10.123,191.19
10.313,195.49
10.466,197.27
10.531,198.64
10.743,199.94
10.658,199.71
10.856,202.5
10.844,203.67
10.8,205.6
10.916,211.02
10.84,216.66
8.6238,220.46
8.5312,216.79
8.5966,214.06
8.12,214.43
7.7806,213.72
7.642,209.26
7.6076,210.01
7.0752,207.69
6.8963,203.35
6.9577,198.94
7.303,195.27
7.7054,191.84
7.241,190.55
8.3821,184.37
9.1852,182.41
10.01,175
11.344,176.51
12.367,181.34
13.55,191.06
13.985,198.03
14.541,206.47
15.587,217.24
16.308,225.05
